Year,Market,EV,ICE,EV_Share,ICE_Share,EV_Cost,ICE_Cost
2010,2203560.0,77170.6025916123,2126389.3974083876,3.502087648696305,96.4979123513037,5049.999999999998,1110.0
2011,2174480.0,86558.1300625118,2087921.869937488,3.9806358330502833,96.01936416694971,5049.999999999998,1119.9999999999998
2012,2145400.0,96996.92380054684,2048403.076199453,4.521158003195061,95.47884199680493,5049.999999999998,1140.0000000000005
2013,2116320.0,108582.0038484501,2007737.99615155,5.130698752950882,94.86930124704912,4900.000000000004,1160.0
2014,2087240.0,121411.10525112019,1965828.8947488798,5.816825341173999,94.18317465882599,4699.999999999997,1179.9999999999995
2015,2058160.0,135583.04583149086,1922576.9541685092,6.587585310738274,93.41241468926174,3999.9999999999995,1200.0
2016,2029080.0,151195.57860400493,1877884.4213959952,7.4514350643643885,92.54856493563561,3800.0000000000014,1229.9999999999998
2017,2000000.0,168342.66065932115,1831657.3393406789,8.417133032966058,91.58286696703395,3499.9999999999995,1270.0000000000002
2018,1970920.0,187111.0839183215,1783808.9160816786,9.493591009189693,90.50640899081031,3200.0000000000027,1309.9999999999998
2019,1941840.0,207576.4378977423,1734263.5621022577,10.689677723074109,89.31032227692589,2999.9999999999977,1350.0000000000005
2020,1912760.0,229798.41325092924,1682961.5867490708,12.013970035494742,87.98602996450526,2799.9999999999995,1390.0
2021,1883680.0,253815.5094478711,1629864.490552129,13.474449452554103,86.5255505474459,2499.9999999999995,1460.0000000000002
2022,1854600.0,279639.2812798265,1574960.7187201735,15.078145221601774,84.92185477839823,2199.9999999999995,1530.0
2023,1825520.0,307248.34532539634,1518271.6546746036,16.830730165947035,83.16926983405295,1999.9999999999998,1599.9999999999998
2024,1796440.0,336582.4641258195,1459857.5358741805,18.73608159058023,81.26391840941977,1900.0000000000005,1625.0
2025,1737034.9500000002,361230.7784962033,1375804.171503797,20.795826733146807,79.20417326685319,1751.3601064349475,1669.8480907550954
2026,1738280.0,399959.1018448771,1338320.898155123,23.008899708037664,76.99110029196234,1614.3485381114892,1715.9339361221141
2027,1709200.0,433643.5883079241,1275556.411692076,25.371143710971456,74.62885628902855,1488.055593436864,1763.2916966740852
2028,1680120.0,468333.40177531115,1211786.5982246888,27.874997129687827,72.12500287031217,1371.642738159318,1811.9564757757134
2029,1651040.0,503720.80799435556,1147319.1920056446,30.50930371125809,69.49069628874192,1264.3370378386448,1861.9643456033255
2030,1621960.0,539452.2789111072,1082507.7210888928,33.259283762306545,66.74071623769345,1165.4260258730183,1913.352373882938
