year,total_demand_gwh,vrla_demand_gwh,lithium_demand_gwh,vrla_share_pct,lithium_share_pct,vrla_capex_per_kwh,lithium_capex_per_kwh,vrla_tco_per_kwh,lithium_tco_per_kwh,tco_advantage,region,scenario,tipping_year,vrla_installed_base_gwh,lithium_installed_base_gwh,total_installed_base_gwh,new_build_demand_gwh,replacement_demand_gwh,contestable_market_gwh,power_capacity_mw,vrla_power_capacity_mw,lithium_power_capacity_mw,annual_throughput_gwh,cycles_per_year,round_trip_efficiency_pct
2020,1.6,0.8400000000000001,0.76,52.5,47.5,252.99999999999997,207.36,696.446117717639,341.0623811203909,355.3837365972481,Europe,baseline,2020,3.8560000000000003,0.76,4.6160000000000005,0.48,1.1199999999999999,0.0,400.0,210.00000000000003,190.0,1015.5200000000002,250,88.0
2021,2.0,0.6634674129625056,1.3365325870374944,33.17337064812528,66.82662935187473,252.99999999999997,331.56,696.446117717639,514.583909944223,181.862207773416,Europe,baseline,2020,3.7482674129625053,2.033199253704161,5.781466666666667,0.5045288,0.8345333333333335,0.7712000000000001,500.0,165.8668532406264,334.13314675937363,1271.9226666666668,250,88.0
2022,2.9,0.5869882464160585,2.3130117535839414,20.240974014346847,79.75902598565315,252.99999999999997,344.52000000000004,696.446117717639,532.6905042562751,163.75561346136396,Europe,baseline,2020,3.5856021767860633,4.176777736146089,7.762379912932152,0.6590872,0.9190867537345145,0.7496534825925011,725.0,146.74706160401462,578.2529383959853,1707.7235808450735,250,88.0
2023,3.6,0.41840361774231133,3.181596382257689,11.622322715064204,88.3776772849358,252.99999999999997,331.56,696.446117717639,514.583909944223,181.862207773416,Europe,baseline,2020,3.286885359171162,7.010309307058272,10.297194666229434,0.9959133428291951,1.06518524670272,0.7171204353572127,900.0,104.60090443557783,795.3990955644223,2265.3828265704756,250,88.0
2024,4.1,0.2711463637812857,3.8288536362187138,6.613325945885018,93.38667405411498,252.99999999999997,277.56,696.446117717639,439.13976697733943,257.3063507402996,Europe,baseline,2020,2.9006546511182156,10.254970501022129,13.155625152140345,1.467350239937694,1.2415695140890883,0.6573770718342324,1025.0,67.78659094532142,957.2134090546784,2894.237533470876,250,88.0
2025,4.4,0.23934093058155234,4.160659069418448,5.439566604126189,94.56043339587382,252.99999999999997,256.2201731030747,696.446117717639,409.32560121252135,287.1205165051177,Europe,baseline,2020,2.5598646514761247,13.561048695355398,16.12091334683152,1.874676584179999,1.4347118053088206,0.5801309302236431,1100.0,59.83523264538808,1040.164767354612,3546.6009363029348,250,88.0
2026,6.616,0.3379642466241981,6.278035753375802,5.108286678116658,94.89171332188334,252.99999999999997,236.52103006546164,696.446117717639,381.8036574411367,314.64246027650233,Europe,baseline,2020,2.3858559678050977,18.708997057451583,21.094853025256683,2.2972301519234914,1.6420603215748415,0.511972930295225,1654.0,84.49106165604952,1569.5089383439504,4640.86766555647,250,88.0
2027,8.405,0.42231339455895023,7.9826866054410495,5.024549608077933,94.97545039192207,252.99999999999997,218.3364291176326,696.446117717639,356.3977012614379,340.04841645620115,Europe,baseline,2020,2.3309981688030286,25.13260057477167,27.463598743574696,3.006016556099077,2.036254281681985,0.47717119356101956,2101.25,105.57834863973756,1995.6716513602623,6041.991723586433,250,88.0
2028,10.677,0.534403486560737,10.142596513439262,5.005183914589651,94.99481608541035,252.99999999999997,201.54992673017367,696.446117717639,332.9450478163752,363.5010699012638,Europe,baseline,2020,2.3992020216031595,33.18081370697996,35.58001572858312,3.913562820959394,2.560583014991578,0.4661996337606057,2669.25,133.60087164018424,2535.6491283598157,7827.603460288287,250,88.0
2029,13.564,0.6783396186663908,12.88566038133361,5.0010293325449044,94.9989706674551,252.99999999999997,186.05403197765204,696.446117717639,311.2955200550971,385.15059766254194,Europe,baseline,2020,2.5977012359489184,43.30140627939857,45.89910751534749,5.070152241323094,3.244908213235629,0.4798404043206319,3391.0,169.5849046665977,3221.4150953334024,10097.803653376448,250,88.0
2030,17.23,0.861533386601334,16.368466613398667,5.000193770176054,94.99980622982395,252.99999999999997,171.74951822971258,696.446117717639,291.3104870871101,405.1356306305289,Europe,baseline,2020,2.939694375360469,56.06142236951402,59.00111674487449,6.540622820937016,4.127990770472998,0.5195402471897836,4307.5,215.38334665033352,4092.1166533496666,12980.245683872388,250,88.0
2031,21.888,1.0944076240241285,20.793592375975873,5.000034831981582,94.99996516801842,252.99999999999997,158.5447877618772,696.446117717639,272.86197647128535,423.5841412463537,Europe,baseline,2020,3.446163124312504,72.1832295480304,75.6293926723429,8.407659136144614,5.259724072531596,0.5879388750720939,5472.0,273.60190600603215,5198.398093993968,16638.46638791544,250,88.0
2032,27.805,1.3902516731210097,26.41474832687899,5.000006017338643,94.99999398266135,252.99999999999997,146.35528521738865,696.446117717639,255.8318547553301,440.6142629623089,Europe,baseline,2020,4.147182172571013,92.58270874590686,96.72989091847786,10.777188455808863,6.704501753865034,0.6892326248625008,6951.25,347.5629182802524,6603.687081719747,21280.57600206513,250,88.0
2033,35.322,1.7661003548756067,33.5558996451244,5.000001004687182,94.99999899531282,252.99999999999997,135.1029561642498,696.446117717639,240.1110710183778,456.3350466992612,Europe,baseline,2020,5.083846092932418,118.42338266220568,123.5072287551381,13.784009455883094,8.544662163339774,0.8294364345142027,8830.5,441.52508871890166,8388.9749112811,27171.590326130383,250,88.0
